phase,talker,behaviour,dialogue,nextPhases,
3,player,,독…… 이요? 하지만 주먹질도 잘하시면서 왜……,,
3,안타레스,,주먹질…… 이 중요한 게 아니고.,,
3,안타레스,,"내가 헤라 밑에 있었던, '붉은 전갈'이라고 불리던 시절에 그녀가 나한테 명령한 거야.",,
3,안타레스,,자만심에 빠진 오리온에게 맹독을 주입해서 예절교육을 시켜달라고 말이지.,,
3,안타레스,,이런 얘기 들으면 놀랄지도 모르겠지만 헤라 밑에 있으면서 여러 가지 안 좋은 일들을 많이 해봤고 이번 것도 딱 그 정도 수준밖에 안 되는 일이었어.,,
3,안타레스,,예전에 결투장에 있을 때도 한 번 써먹어 본 적이 있어서 하는 것도 그렇게 어렵지 않았고.,,
3,안타레스,,무엇보다도 이 일을 해야 하는 이유가 다른 일들에 비해서는 어느 정도 납득할만한 수준이었지.,,
3,안타레스,,나는 최대한 내 신분을 안 들키고 일을 처리하려고 했어.,,
3,안타레스,,많은 생명을 죽였겠지만 동시에 누군가에겐 많은 생명을 구한 영웅일 텐데…… 그녀에게 독을 쏴서 역적이 되는 건 싫었거든.,,
3,안타레스,,최대한 조심스럽게 접근해서 맹독을 쏘려 했지.,,
3,안타레스,,근데 명성은 어디 안 가나 봐. 독을 놓으려는 순간 내가 무언가 낌새가 있다는 걸 알아채더라고.,,
3,안타레스,,도망치면서 급한 대로 아무 데나 독이 묻은 바늘을 쐈어.,,
3,안타레스,,어디에 맞았는지는 잘 모르지만…… 잠깐 뒤를 돌아보니 그녀가 쓰러지는 모습이 보였지.,,
3,안타레스,,그러는 동시에 나랑 눈이 마주쳤어. 모든 걸 잃은 눈빛이었지.,,
3,안타레스,,영웅을 한순간에 나락으로 떨어뜨렸다는 게 계속 마음에 걸려서 죄책감도 조금 있었어.,,
3,안타레스,,하지만 한편으론 자만심에 빠진 영웅이었으니 이렇게라도 하는 게 맞다는 생각도 들었지.,,
3,안타레스,,무엇보다도 내 독으로 죽은 사람인데…… 이제 와서 후회해봐야 큰 의미가 없다는 생각이 제일 컸어.,,
3,안타레스,,그런데 얼마 안 있어 그녀가 살아있다는 소식이 들려온 거야.,,
3,안타레스,,내가 있던 곳과 그녀가 살던 곳이 가장 맞은편에 있어서 소식이 늦게 전달된 거지.,,
3,안타레스,,그때부터 불안해지기 시작했어. 다른 사람도 아니고 최고의 활 솜씨를 가진 사냥꾼이 나를 적으로 돌렸다고 생각하니……,,
3,안타레스,,불행인지 다행인지 그 소식이 들린 이후로 오리온이 나를 찾고 있다거나 어딘가로 떠났다는 얘기는 들은 적이 없었고 덕분에 나도 그녀에 대해 한동안은 잊고 살 수 있었지.,,
3,안타레스,,방금 오리온이 이쪽으로 오고 있다는 소식을 듣기 전까지는 말이야.,,
3,player,,그래서 여기를 떠나려고 하신거군요?,,
3,안타레스,,아무래도 같이 있으면 껄끄러울 테니까 말이지.,,
3,player,,만약 다른 곳으로 가다 만나면요?,,
3,안타레스,,최대한 만나지 않는 방향으로 가야지.,,
3,player,,하지만 밖에는 안타레스 씨에게 원한을 가진 다른 별들도 많다면서요?,,
3,player,,여기서 나가면 또 다른 곳을 찾아보셔야 할 텐데…… 다른 별들까지 신경 쓰면서 움직이는 건 힘들지 않을까요?,,
3,player,,다시 나가서 여러 별들한테 쫓기면서 사느니 차라리 오리온 씨를 만나서 오해를 풀고 화해하는 게……,,
3,안타레스,,뭐?! 미쳤어?! 그게 될 거라고 생각해?!,,
3,안타레스,,후우…… 그래. 너는 겪어본 적이 없으니 그렇게 생각할 수도 있지.,,
3,안타레스,,"내가 하고 싶었던 말은, 화해를 한다는 게 현실적으로 이뤄지기 힘든 일이라는 거야.",,
3,안타레스,,네가 말한 대로 이 별 밖으로 나가면 다른 별들도 신경을 써야 하는 건 맞지만 죽음까지 몰고 가려 했던 상대를 용서하는 일 또한 쉽지는 않을 거란 말이지.,,
3,안타레스,,후우…… 요양차 온 곳에서 이런 생각까지 해야 하나 싶긴 한데…… 그래도 어느 쪽이 더 나을지는 생각해봐야겠군.,,
